,precision,recall,f1-score,support
funnel-like,0.7631578947368421,0.9652677279305355,0.8523961661341853,691.0
tubular,0.9,0.4825174825174825,0.6282245827010622,429.0
discoidal,1.0,1.0,1.0,71.0
micro avg,0.8042553191489362,0.7934508816120907,0.7988165680473372,1191.0
macro avg,0.887719298245614,0.8159284034826726,0.8268735829450825,1191.0
weighted avg,0.82656767864245,0.7934508816120907,0.7804484439777312,1191.0
