cauda_gt_label,TC-STRIGHT_,TC-SLIGHTCURV_,TC-STRONGCURV_,TC-MARKCURV_,TC-CURLCURVED_,NOTVISIBLE_,TC-MUCHLONGER_,UNDIFFERENTIATED_
TC-STRONGCURV_,0.0,0.1471264367816092,0.43908045977011495,0.3057471264367816,0.10804597701149425,0.0,0.0,0.0
TC-STRIGHT_,0.8297872340425532,0.0486322188449848,0.07598784194528875,0.0,0.0,0.04559270516717325,0.0,0.0
TC-SLIGHTCURV_,0.011494252873563218,0.8888888888888888,0.09961685823754789,0.0,0.0,0.0,0.0,0.0
TC-MARKCURV_,0.012048192771084338,0.006024096385542169,0.006024096385542169,0.6626506024096386,0.3132530120481928,0.0,0.0,0.0
UNDIFFERENTIATED_,0.7333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.05,0.016666666666666666
