ostium_gt_label,FN___,TB___,DS___,NOTVISIBLE_
FN___,0.9652677279305355,0.03328509406657019,0.0,0.001447178002894356
TB___,0.4825174825174825,0.4825174825174825,0.0,0.03496503496503497
DS___,0.0,0.0,1.0,0.0
