ostium_gt_label,FN___,TB___,DS___,HALLUCINATE_
FN___,0.9493487698986975,0.013024602026049204,0.0361794500723589,0.001447178002894356
TB___,0.4988344988344988,0.5011655011655012,0.0,0.0
DS___,0.0,0.0,1.0,0.0
