,0,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,0,0,0,0,0,0,0
1,16,8,0,0,0,0,0,0,0,0,0
2,0,1,7,0,1,0,0,0,0,0,0
3,0,0,0,38,164,2,0,0,0,0,0
4,0,0,0,62,756,0,0,0,25,0,0
5,0,0,0,0,1,67,0,0,0,1,0
6,0,0,1,0,0,3,13,0,0,0,0
7,0,0,0,0,0,0,0,48,0,0,0
8,0,0,0,0,0,0,0,0,39,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,3
