epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_time_seconds,train_avg_batch_time,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_time_seconds,val_avg_batch_time,epoch_time_seconds
1,0.5598496866868342,0.8731158883123301,0.6468203163304639,0.5744860558983382,0.5993350983139144,55.469438552856445,0.4209862337337704,0.4182135816081427,0.9078947368421052,0.7160665272696427,0.7310539832791354,0.7120666850634502,5.0163421630859375,0.283666654066606,60.740556478500366
2,0.07594955559568639,0.9860390412651348,0.8771714348891378,0.8620384420957693,0.8670859452960733,51.531007289886475,0.4074149882699561,0.14384075481313885,0.9385964912280701,0.826168091168091,0.8702458053928642,0.8256747764527499,4.973544597625732,0.2826635078950362,56.924193382263184
3,0.03730392537795676,0.9933283914010378,0.9283636801995098,0.914186611249408,0.9166430608948065,50.45215892791748,0.40028078662441785,0.14089981742575627,0.9502923976608186,0.9146764516977453,0.9321010383951561,0.9161465304864278,5.079694032669067,0.2827689430930398,55.94558024406433
4,0.025510512721341187,0.9964170990857426,0.9816350823481319,0.9671094776914351,0.9713181905187389,50.23227095603943,0.39650488650704935,0.26893564765202016,0.8874269005847952,0.8496815561008833,0.9042212885154063,0.8637610407080166,4.948569059371948,0.2825049161911011,55.20844078063965
5,0.012953766645812563,0.9977761304670126,0.9822972973259909,0.9824981537078841,0.9823406641486722,50.371086835861206,0.39402834261496233,0.26705920229848384,0.8684210526315789,0.8537463284196722,0.8949957870992354,0.8609336113371189,5.13159966468811,0.28406200842423873,55.529038190841675
6,0.015926635842784146,0.9967877440079072,0.9893642672451075,0.9827358789600271,0.9852801559489016,50.62443780899048,0.3928949075733896,0.4749853802342458,0.8625730994152047,0.8310481618367942,0.85151300116006,0.8263887668818576,5.086830377578735,0.2836773106546113,55.73791480064392
7,0.01672951425332507,0.9965406473931308,0.9936588879649061,0.9913026039037153,0.9924483094519859,50.805964946746826,0.3922367171039732,0.22478722670518558,0.915204678362573,0.9090117998628637,0.9135825198766376,0.8933426503882522,4.9259443283081055,0.2816078322274344,55.76040077209473
8,0.011704517030420645,0.9983938720039536,0.995524342227238,0.9926011570645296,0.9939133590620207,52.28175735473633,0.39297593367381356,0.36204213892630155,0.8903508771929824,0.9340331805409389,0.9388954189826401,0.9172626603498091,5.203483819961548,0.28293035247109155,57.5132896900177
9,0.014164130448971026,0.9969112923152953,0.9748129326474733,0.9744317763141966,0.9744667132954162,51.22203612327576,0.3928328983009852,0.6597406376761986,0.817251461988304,0.8395789175366813,0.8734132077073254,0.8340690845945867,4.975091218948364,0.2812667157914903,56.22493386268616
10,0.003523813070895526,0.9996293550778355,0.9968463390389221,0.9962621181635266,0.9964077690564115,50.400410413742065,0.3919405877120852,0.14071691388491342,0.9400584795321637,0.9111835682782599,0.9286522366522367,0.9095877970590679,5.305859804153442,0.2842334964058616,56.12465262413025
