image,CER,model,feature,source_file
Brachypterois serrulata_Sp4_L (42).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (43).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (44).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (45).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (46).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (47).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (48).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (49).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (5).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (50).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (51).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (52).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (53).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (54).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (55).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (56).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (57).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (58).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (59).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (6).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (60).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (61).tif,0.5,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (62).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (63).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (64).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (65).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (66).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (67).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (68).tif,0.5,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (69).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (7).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (70).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (71).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (72).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (73).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (74).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (75).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (76).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (77).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (78).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (79).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (8).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (80).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (81).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (82).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (83).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (84).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (85).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (86).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (87).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (88).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (89).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (9).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (90).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (91).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (92).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (93).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (94).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (95).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (96).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (97).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (98).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (99).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (1).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (10).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (11).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (12).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (13).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (14).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (15).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (16).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (17).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (18).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (19).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (2).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (20).tif,0.2631578947368421,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_R (21).tif,0.3684210526315789,Gemma-3,Shape,shape_cer_gemma.csv
